type,price,position,capital,stop_loss,take_profit,reason,profit
buy,84574.9,0.07882559325126802,3333.333333333333,82037.65299999999,89649.394,signal,
close_long,84426.57,,9988.307799753042,,,signal,-11.692200246959576
buy,84503.91,0.0787995711263778,3329.435933251014,81968.7927,89574.14460000001,signal,
close_long,84524.31,,9989.91531100402,,,signal,1.6075112509776484
buy,84462.69,0.07885071551319697,3329.9717703346732,81928.8093,89530.4514,signal,
close_long,84385.72,,9983.84617143097,,,signal,-6.069139573050863
buy,84440.3,0.0788237067800641,3327.948723810324,81907.091,89506.71800000001,signal,
close_long,85233.12,,10046.33918264034,,,signal,62.493011209369826
buy,85271.12,0.07854428855975577,3348.779727546779,82712.9864,90387.3872,signal,
close_long,85132.57,,10035.456871460388,,,signal,-10.882311179953248
buy,84960.0,0.07874652284573438,3345.152290486795,82411.2,90057.6,signal,
close_long,85059.79,,10043.314986975163,,,signal,7.85811551477533
buy,85200.0,0.07858618925645668,3347.7716623250544,82644.0,90312.0,signal,
close_long,85116.71,,10036.769543271994,,,signal,-6.545443703169774
buy,85178.51,0.0785547868296201,3345.589847757331,82623.1547,90289.2206,signal,
close_long,85111.0,,10031.466309613126,,,signal,-5.303233658867241
buy,85159.99,0.07853035452926604,3343.822103204375,82605.1903,90269.58940000001,signal,
close_long,85095.89,,10026.4325138878,,,signal,-5.033795725326411
buy,84812.73,0.0788123238409124,3342.144171295933,82268.34809999999,89901.4938,signal,
close_long,84657.84,,10014.22527304808,,,signal,-12.207240839718876
buy,84694.48,0.07882627276337317,3338.075091016026,82153.64559999999,89776.1488,signal,
close_long,84533.94,,10001.570503218649,,,signal,-12.654769829431425
buy,84551.14,0.07886012735975449,3333.856834406217,82014.60579999999,89624.2084,signal,
close_long,84453.89,,9993.901355832913,,,signal,-7.6691473857361245
buy,84466.06,0.07887903027427358,3331.3004519443048,81932.07819999999,89534.0236,signal,
close_long,84403.56,,9988.97141644077,,,signal,-4.929939392142098
buy,84436.3,0.07886790725821928,3329.65713881359,81903.211,89502.478,signal,
close_long,84364.94,,9983.343402578823,,,signal,-5.628013861946574
buy,84227.65,0.07901873397139636,3327.781134192941,81700.82049999999,89281.309,signal,
close_long,84005.01,,9965.75067164743,,,signal,-17.59273093139164
buy,84098.64,0.07900049015178234,3321.9168905491424,81575.6808,89144.55840000001,signal,
close_long,87240.65,,10213.971001709233,,,signal,248.22033006180123
buy,86974.0,0.07829137444684031,3404.657000569744,84364.78,92192.44,signal,
take_profit,93417.73,,10718.459479973571,,,take_profit,504.488478264338
buy,93014.07,0.07682321237330776,3572.8198266578565,90223.64790000001,98594.91420000001,signal,
close_long,92827.34,,10704.114281527103,,,signal,-14.345198446468563
buy,92866.64,0.07684219206902215,3568.0380938423677,90080.6408,98438.63840000001,signal,
close_long,93500.0,,10752.78305229594,,,signal,48.66877076883591
buy,93528.01,0.07664572393728852,3584.26101743198,90722.1697,99139.6906,signal,
close_long,92764.35,,10694.251778753991,,,signal,-58.531273541948906
buy,92716.9,0.07689537922251494,3564.750592917996,89935.393,98279.914,signal,
close_long,93357.22,,10743.48942797775,,,signal,49.2376492237613
buy,93368.29,0.07671047938565118,3581.1631426592503,90567.2413,98970.38739999999,signal,
close_long,93062.44,,10720.02752785765,,,signal,-23.461900120100744
buy,92724.98,0.07707399902994605,3573.3425092858834,89943.2306,98288.4788,signal,
close_long,92605.14,,10710.7909798139,,,signal,-9.236548043748465
buy,92682.21,0.07704312747695521,3570.2636599379666,89901.7437,98243.1426,signal,
close_long,92576.61,,10702.655225552335,,,signal,-8.13575426156692
buy,92624.97,0.07703218131894193,3567.551741850778,89846.2209,98182.4682,signal,
close_long,92446.3,,10688.891885716079,,,signal,-13.76333983625522
buy,92542.69,0.07700152139310755,3562.9639619053587,89766.4093,98095.25140000001,signal,
close_long,92421.96,,10679.59549203829,,,signal,-9.296393677789561
buy,92480.89,0.07698596248398482,3559.8651640127637,89706.4633,98029.7434,signal,
close_long,92125.02,,10652.198497569116,,,signal,-27.39699446917532
buy,92061.4,0.07713836271277733,3550.7328325230374,89299.55799999999,97585.084,signal,
close_long,91876.11,,10637.905530342065,,,signal,-14.292967227050017
buy,92017.75,0.07707140220477075,3545.9685101140203,89257.2175,97538.815,signal,
close_long,93391.38,,10743.773120552603,,,signal,105.8675902105396
buy,93427.98,0.07666349431617527,3581.257706850867,90625.1406,99033.6588,signal,
close_long,93220.06,,10727.833246814385,,,signal,-15.939873738219028
buy,93244.04,0.07670076104820846,3575.944415604795,90446.71879999999,98838.6824,signal,
close_long,93204.29,,10724.78439156272,,,signal,-3.048855251666286
buy,93235.48,0.07668600259302374,3574.928130520907,90438.4156,98829.6088,signal,
close_long,94700.01,,10837.093342940281,,,signal,112.30895137756097
buy,94741.91,0.07625694790503507,3612.36444764676,91899.6527,100426.42460000001,signal,
close_long,94778.51,,10839.884347233605,,,signal,2.7910042933236174
buy,94770.0,0.07625397873612329,3613.2947824112007,91926.9,100456.20000000001,signal,
close_long,94609.45,,10827.64177094752,,,signal,-12.242576286084816
buy,94840.0,0.07611163904785267,3609.213923649173,91994.8,100530.40000000001,signal,
close_long,94679.14,,10815.398452690282,,,signal,-12.243318257237625
buy,94597.61,0.07622037845487699,3605.132817563426,91759.6817,100273.4666,signal,
close_long,94526.63,,10809.988330227556,,,signal,-5.410122462726858
buy,94554.97,0.07621660592582674,3603.329443409186,91718.32089999999,100228.2682,signal,
close_long,94158.66,,10779.782927133092,,,signal,-30.20540309446422
buy,94245.0,0.07625361506098002,3593.2609757110295,91417.65,99899.70000000001,signal,
close_long,94209.03,,10777.040084599348,,,signal,-2.74284253374354
buy,94144.06,0.07631595014845227,3592.346694866449,91319.73819999999,99792.70360000001,signal,
close_long,94159.26,,10778.200087041605,,,signal,1.1600024422562525
buy,94220.71,0.07626207364277347,3592.7333623472014,91394.08870000001,99873.95260000002,signal,
close_long,94173.92,,10774.63178461586,,,signal,-3.5683024257459923
buy,94279.73,0.0761891008428914,3591.5439282052857,91451.3381,99936.5138,signal,
close_long,94208.11,,10769.175121213491,,,signal,-5.456663402367528
buy,94285.71,0.07614568613641447,3589.725040404496,91457.13870000001,99942.85260000001,signal,
close_long,94194.73,,10762.2473866888,,,signal,-6.927734524691786
buy,94234.66,0.07613792622720628,3587.4157955629325,91407.6202,99888.73960000002,signal,
close_long,94105.19,,10752.389809380162,,,signal,-9.857577308636484
buy,94062.17,0.07620768129121525,3584.1299364600536,91240.3049,99705.9002,signal,
close_long,93954.0,,10744.146424494891,,,signal,-8.24338488527062
buy,94014.11,0.07618818369919786,3581.3821414982967,91193.68669999999,99654.9566,signal,
close_long,93956.53,,10739.75950887749,,,signal,-4.3869156173999455
buy,93970.76,0.0761922077951162,3579.919836292497,91151.6372,99609.0056,signal,
close_long,94029.19,,10744.21141957896,,,signal,4.451910701469217
buy,94095.23,0.07612296195091547,3581.4038065263203,91272.3731,99740.9438,signal,
close_long,93945.47,,10732.81124479719,,,signal,-11.400174781768703
buy,94000.01,0.07611922058871548,3577.6037482657302,91180.0097,99640.0106,signal,
close_long,93883.81,,10723.966191364783,,,signal,-8.845053432408518
buy,93988.54,0.07606577136152119,3574.6553971215944,91168.8838,99627.8524,signal,
close_long,93920.5,,10718.790676281345,,,signal,-5.175515083437415
buy,93999.99,0.07601980011757693,3572.9302254271142,91179.9903,99639.9894,signal,
close_long,93863.12,,10708.385846239253,,,signal,-10.404830042093508
buy,93845.27,0.07607121698827053,3569.461948746418,91029.9119,99475.98620000001,signal,
close_long,93754.01,,10701.443586976902,,,signal,-6.9422592623502775
buy,93881.82,0.07599230313868297,3567.1478623256326,91065.36540000001,99514.72920000002,signal,
close_long,93725.18,,10689.54015261326,,,signal,-11.903434363644362
buy,93588.03,0.07614606378339381,3563.1800508710858,90780.3891,99203.31180000001,signal,
close_long,93445.44,,10678.682485378386,,,signal,-10.857667234873857
buy,93552.66,0.07609747982493414,3559.560828459462,90746.0802,99165.8196,signal,
close_long,93340.01,,10662.500356293613,,,signal,-16.18212908477291
buy,92949.99,0.0764748180270101,3554.1667854312036,90161.4903,98526.9894,signal,
close_long,93965.7,,10740.176593711825,,,signal,77.6762374182138
buy,94512.29,0.07575858895325907,3580.0588645706084,91676.92129999999,100183.02739999999,signal,
close_long,94111.49,,10709.81255125936,,,signal,-30.364042452465352
buy,93833.51,0.07609088729786306,3569.937517086453,91018.50469999999,99463.5206,signal,
close_long,93602.95,,10692.269036283964,,,signal,-17.54351497539513
buy,93880.0,0.07592862545294678,3564.08967876132,91063.59999999999,99512.8,signal,
close_long,93674.62,,10676.674815188439,,,signal,-15.594221095526562
buy,93862.03,0.0758324021984782,3558.8916050628122,91046.1691,99493.7518,signal,
close_long,93809.86,,10672.718638765744,,,signal,-3.956176422694475
buy,93839.95,0.07582213928265268,3557.5728795885816,91024.7515,99470.34700000001,signal,
close_long,94619.91,,10731.856874520643,,,signal,59.13823575489827
buy,94657.36,0.07558388750415634,3577.285624840214,91817.6392,100336.8016,signal,
close_long,94557.15,,10724.282613153851,,,signal,-7.574261366791991
buy,94695.66,0.07549999379171726,3574.7608710512823,91854.7902,100377.3996,signal,
close_long,94536.14,,10712.238854144196,,,signal,-12.043759009655046
buy,94439.31,0.07561991473073516,3570.7462847147317,91606.1307,100105.6686,signal,
close_long,94697.1,,10731.732911962634,,,signal,19.494057818436833
buy,94836.01,0.0754406328142136,3577.2443039875443,91990.9297,100526.1706,signal,
close_long,94709.55,,10722.192689536949,,,signal,-9.540222425684838
buy,94911.43,0.07531367359749296,3574.0642298456487,92064.08709999999,100606.1158,signal,
close_long,94740.68,,10709.332879770176,,,signal,-12.859809766771923
buy,94878.47,0.0752494770750426,3569.7776265900584,92032.1159,100571.17820000001,signal,
close_long,94812.01,,10704.331799523768,,,signal,-5.001080246407813
buy,94967.99,0.07514343727483873,3568.1105998412568,92118.9503,100666.06940000001,signal,
close_long,94861.23,,10696.309486160306,,,signal,-8.022313363462482
buy,94896.91,0.07514336336950841,3565.436495386769,92050.0027,100590.72460000002,signal,
close_long,94839.32,,10691.981979863856,,,signal,-4.3275062964497275
buy,94915.44,0.07509829788047029,3563.9939932879515,92067.9768,100610.36640000001,signal,
close_long,94676.66,,10674.050008295959,,,signal,-17.931971567898607
buy,94668.09,0.07516823608529519,3558.016669431987,91828.04729999999,100348.17540000001,signal,
close_long,94258.39,,10643.253581971814,,,signal,-30.79642632414522
buy,94244.7,0.0752880786715986,3547.7511939906053,91417.359,99899.382,signal,
close_long,93883.46,,10616.056516432487,,,signal,-27.19706553932758
buy,94005.36,0.07528688801314086,3538.685505477496,91185.1992,99645.68160000001,signal,
close_long,94695.53,,10668.017267932515,,,signal,51.960751500029296
buy,94609.93,0.07517193503847863,3556.005755977505,91771.63209999999,100286.5258,signal,
close_long,94393.99,,10651.784640280308,,,signal,-16.23262765220816
buy,94545.98,0.07510832041919575,3550.5948800934348,91709.60059999999,100218.7388,signal,
close_long,94083.99,,10617.085347329845,,,signal,-34.699292950463544
buy,93961.4,0.07532941078166032,3539.0284491099474,91142.55799999999,99599.084,signal,
close_long,93946.59,,10615.969718756169,,,signal,-1.115628573676214
buy,94004.5,0.07528696121821239,3538.6565729187223,91184.36499999999,99644.77,signal,
close_long,93830.4,,10602.862258808078,,,signal,-13.107459948091215
buy,94036.62,0.07516832101372195,3534.2874196026924,91215.5214,99678.8172,signal,
close_long,96495.49,,10787.691388299088,,,signal,184.82912949101123
buy,96642.85,0.07441620625701807,3595.8971294330286,93743.56450000001,102441.42100000002,signal,
close_long,96326.01,,10764.113357508613,,,signal,-23.57803079047443
buy,96724.0,0.07419126144154925,3588.0377858362035,93822.28,102527.44,signal,
close_long,96580.0,,10753.429815861029,,,signal,-10.683541647583091
buy,96697.0,0.07413832084319079,3584.476605287009,93796.09,102498.82,signal,
close_long,96464.55,,10736.196363181029,,,signal,-17.233452679999484
buy,96609.23,0.07408675384454141,3578.732121060343,93710.9531,102405.7838,signal,
close_long,96431.39,,10723.020774877315,,,signal,-13.175588303712987
buy,96427.25,0.07413548054709511,3574.340258292438,93534.4325,102212.88500000001,signal,
close_long,96277.51,,10711.919728020193,,,signal,-11.10104685712241
buy,96301.9,0.07415512901282456,3570.639909340064,93412.843,102080.014,signal,
close_long,96676.04,,10739.664127989052,,,signal,27.744399968858136
buy,96694.09,0.0740456431755657,3579.8880426630167,93793.26729999999,102495.7354,signal,
close_long,96572.01,,10730.62463587018,,,signal,-9.03949211887319
buy,96714.29,0.0739678671812282,3576.8748786233928,93812.86129999999,102517.1474,signal,
close_long,96486.24,,10713.7562637595,,,signal,-16.86837211067823
buy,96499.37,0.0740160705281254,3571.252087919833,93604.38889999999,102289.3322,signal,
close_long,96492.01,,10713.211505480413,,,signal,-0.544758279087046
buy,96754.49,0.07381715312285361,3571.0705018268036,93851.8553,102559.75940000001,signal,
close_long,97266.0,,10750.969717474283,,,signal,37.75821199387047
buy,96970.0,0.07391268583049249,3583.656572491427,94060.9,102788.20000000001,signal,
close_long,96932.3,,10748.183209218474,,,signal,-2.7865082558093515
buy,96688.73,0.07410848681963572,3582.7277364061574,93788.06809999999,102490.0538,signal,
close_long,96543.59,,10737.427103441472,,,signal,-10.756105777001885
buy,96460.0,0.0742098770021527,3579.1423678138226,93566.2,102247.6,signal,
close_long,96337.5,,10728.336393508709,,,signal,-9.090709932763707
buy,96375.28,0.07421222809769415,3576.112131169568,93484.0216,102157.79680000001,signal,
close_long,96194.82,,10714.9440548262,,,signal,-13.392338682509282
buy,96232.57,0.0742295050059538,3571.6480182753994,93345.5929,102006.52420000001,signal,
close_long,96179.32,,10710.991333684633,,,signal,-3.9527211415670394
buy,96353.38,0.07410908562961765,3570.330444561543,93462.7786,102134.5828,signal,
close_long,96281.0,,10705.627318066761,,,signal,-5.364015617872071
buy,96335.23,0.07408592763738847,3568.542439355587,93445.1731,102115.3438,signal,
close_long,96250.04,,10699.315937891333,,,signal,-6.311380175429297
buy,96328.48,0.07404743946886275,3566.438645963778,93438.6256,102108.1888,signal,
close_long,96266.53,,10694.728699016237,,,signal,-4.5872388750958315
buy,96337.13,0.07400904648786498,3564.909566338745,93447.01610000001,102117.35780000001,signal,
close_long,95896.5,,10662.118092862289,,,signal,-32.61060615394829
buy,95985.61,0.07405358708013482,3554.0393642874296,93106.0417,101744.7466,signal,
close_long,95911.0,,10656.59295473024,,,signal,-5.525138132048902
buy,95925.74,0.07406140732564058,3552.1976515767465,93047.9678,101681.2844,signal,
close_long,96153.53,,10673.463402704947,,,signal,16.870447974707194
buy,96123.91,0.07402572646566255,3557.8211342349814,93240.1927,101891.34460000001,signal,
close_long,95980.01,,10662.811100666539,,,signal,-10.652302038409488
buy,96071.42,0.07399225215758957,3554.2703668888444,93189.27739999999,101835.7052,signal,
close_long,96200.01,,10672.325764371482,,,signal,9.514663704944185
buy,95929.52,0.07416782490847783,3557.44192145716,93051.6344,101685.2912,signal,
close_long,95786.23,,10661.698256740347,,,signal,-10.627507631136393
buy,95872.18,0.07413828326243231,3553.899418913449,92996.0146,101624.5108,signal,
close_long,95690.49,,10648.228072054397,,,signal,-13.47018468595042
buy,95991.6,0.07395249912182869,3549.4093573514656,93111.852,101751.096,signal,
close_long,95800.01,,10634.059512747644,,,signal,-14.168559306751977
buy,95678.67,0.07409564753041017,3544.6865042492145,92808.3099,101419.39020000001,signal,
close_long,95514.74,,10621.913013247984,,,signal,-12.146499499659623
buy,95511.1,0.07414086260304115,3540.6376710826607,92645.767,101241.76600000002,signal,
close_long,95442.79,,10616.84845092357,,,signal,-5.064562324414647
buy,95478.0,0.07413120265697208,3538.9494836411895,92613.66,101206.68000000001,signal,
close_long,95300.0,,10603.653096850629,,,signal,-13.195354072941031
buy,95442.48,0.07406662174502471,3534.5510322835435,92579.20559999999,101169.0288,signal,
close_long,95382.26,,10599.192804889142,,,signal,-4.460291961485474
buy,95474.05,0.0740109855672066,3533.0642682963808,92609.8285,101202.493,signal,
close_long,95446.58,,10597.159723115612,,,signal,-2.0330817735312516
buy,95530.98,0.07395269208735995,3532.3865743718707,92665.05059999999,101262.8388,signal,
close_long,95450.03,,10591.17325269114,,,signal,-5.986470424471573
buy,95479.98,0.07395039429690665,3530.3910842303785,92615.58059999999,101208.7788,signal,
close_long,95405.79,,10585.686872938251,,,signal,-5.486379752887677
buy,95436.08,0.07394608602908706,3528.5622909794165,92572.9976,101162.2448,signal,
close_long,94794.25,,10538.226056542202,,,signal,-47.460816396049076
buy,95015.82,0.07394015057381816,3512.742018847399,92165.3454,100716.76920000001,signal,
close_long,94755.76,,10518.997180983974,,,signal,-19.228875558228054
buy,94560.0,0.07416100663412277,3506.332393661324,91723.2,100233.6,signal,
close_long,94470.7,,10512.374603091546,,,signal,-6.622577892427379
buy,94059.43,0.07450874128616733,3504.124867697181,91237.64709999999,99702.9958,signal,
close_long,94095.82,,10515.08597618695,,,signal,2.71137309540467
buy,94140.0,0.07446417375672369,3505.028658728982,91315.8,99788.40000000001,signal,
close_long,94454.18,,10538.481130297838,,,signal,23.395154110886928
buy,94222.07,0.07456484544295434,3512.8270434326123,91395.4079,99875.39420000001,signal,
close_long,94005.0,,10522.295339297536,,,signal,-16.185791000302622
buy,94107.17,0.07454122315580938,3507.431779765846,91283.9549,99753.6002,signal,
close_long,93826.59,,10501.38056290448,,,signal,-20.914776393057128
buy,94080.0,0.07441454480516213,3500.460187634827,91257.59999999999,99724.8,signal,
close_long,93879.37,,10486.45077278022,,,signal,-14.929790124260025
buy,93901.25,0.07445020361127759,3495.4835909267395,91084.2125,99535.32500000001,signal,
close_long,93731.67,,10473.825507251819,,,signal,-12.625265528400584
buy,93770.31,0.0744644049717643,3491.2751690839386,90957.2007,99396.5286,signal,
close_long,94484.68,,10527.020644231497,,,signal,53.19513697967892
buy,94153.99,0.07453761399618856,3509.006881410499,91329.37030000001,99803.22940000001,signal,
close_long,94428.58,,10547.48792765871,,,signal,20.467283427213157
buy,94479.28,0.07442540436844078,3515.8293092195718,91644.9016,100148.0368,signal,
close_long,94203.81,,10526.985961517337,,,signal,-20.501966141374467
buy,94261.17,0.07445261544081788,3508.995320505778,91433.3349,99916.8402,signal,
close_long,94180.01,,10520.94338724816,,,signal,-6.042574269177039
buy,94205.85,0.07445357436046106,3506.9811290827192,91379.67450000001,99858.20100000002,signal,
close_long,94069.11,,10510.76260549011,,,signal,-10.180781758049836
buy,94009.51,0.07453687473029848,3503.5875351633686,91189.22469999999,99650.0806,signal,
close_long,93940.77,,10505.63894072115,,,signal,-5.123664768960023
buy,93860.65,0.07461869584127215,3501.8796469070494,91044.8305,99492.289,signal,
close_long,93740.29,,10496.657834489695,,,signal,-8.98110623145556
buy,93952.68,0.07448187629836421,3498.885944829898,91134.09959999999,99589.84079999999,signal,
close_long,93465.62,,10460.380691819813,,,signal,-36.2771426698811
buy,93955.7,0.07422207623252103,3486.7935639399375,91137.029,99593.042,signal,
close_long,96440.0,,10644.770595804264,,,signal,184.38990398445222
buy,96562.94,0.07349106945724909,3548.2568652680875,93666.0518,102356.7164,signal,
close_long,96725.14,,10656.69084727023,,,signal,11.920251465965588
buy,97003.32,0.07323935474421721,3552.2302824234102,94093.2204,102823.51920000001,signal,
close_long,96635.4,,10629.744623872737,,,signal,-26.946223397493334
buy,96418.1,0.07349757375342553,3543.2482079575784,93525.557,102203.18600000002,signal,
close_long,96170.56,,10611.551034465814,,,signal,-18.193589406923554
buy,96593.59,0.07323847634517512,3537.18367815527,93695.78229999999,102389.2054,signal,
close_long,96248.26,,10586.259591429534,,,signal,-25.291443036279453
buy,96469.07,0.0731582298273048,3528.753197143179,93574.9979,102257.21420000002,signal,
close_long,99285.72,,10792.320719472613,,,signal,206.06112804307764
buy,99392.38,0.07238865272819112,3597.4402398242046,96410.6086,105355.92280000001,signal,
close_long,99262.74,,10782.936254532931,,,signal,-9.384464939682655
buy,99333.64,0.07236847627539493,3594.3120848443104,96353.6308,105293.6584,signal,
close_long,99118.86,,10767.392953198501,,,signal,-15.54330133442924
buy,99373.38,0.07223526027593105,3589.1309843994995,96392.1786,105335.78280000002,signal,
close_long,99174.6,,10753.034028160851,,,signal,-14.35892503764949
buy,99393.43,0.07212437836290825,3584.3446760536162,96411.62709999998,105357.0358,signal,
close_long,99371.95,,10751.484796513618,,,signal,-1.5492316472349752
buy,99746.03,0.07185906577945086,3583.8282655045386,96753.6491,105730.7918,signal,
close_long,102604.88,,10956.9190867172,,,signal,205.43429020358352
buy,102917.28,0.07097557110407633,3652.3063622390673,99829.7616,109092.3168,signal,
close_long,102730.98,,10943.696337820511,,,signal,-13.222748896689627
buy,102738.43,0.07101332537928609,3647.8987792735043,99656.27709999999,108902.7358,signal,
close_long,102559.98,,10931.024009906578,,,signal,-12.672327913933396
buy,102619.04,0.07101361832987055,3643.6746699688592,99540.46879999999,108776.1824,signal,
close_long,103051.98,,10961.768645826312,,,signal,30.74463591973432
buy,103038.59,0.0709233867028286,3653.922881942104,99947.4323,109220.9054,signal,
close_long,102628.22,,10932.663815625074,,,signal,-29.104830201239444
buy,102842.25,0.07087011946695107,3644.221271875025,99756.9825,109012.785,signal,
close_long,102582.68,,10914.268058715037,,,signal,-18.395756910036983
buy,102841.7,0.07075124882037176,3638.089352905011,99756.449,109012.202,signal,
close_long,102904.76,,10918.729632465649,,,signal,4.461573750612478
buy,102899.98,0.07074008263471415,3639.5765441552157,99812.9806,109073.9788,signal,
close_long,103190.47,,10939.278919070208,,,signal,20.549286604558485
buy,103364.97,0.07055439200256598,3646.426306356735,100264.0209,109566.86820000001,signal,
close_long,103259.99,,10931.872118997779,,,signal,-7.406800072429089
buy,103296.9,0.07055308287081723,3643.957372999259,100197.99299999999,109494.71399999999,signal,
close_long,103102.57,,10918.161538403494,,,signal,-13.710580594285009
buy,103205.57,0.0705269527500857,3639.3871794678307,100109.4029,109397.90420000002,signal,
close_long,103132.02,,10912.974281028724,,,signal,-5.1872573747690085
buy,103214.17,0.07048757149674781,3637.658093676242,100117.74489999999,109407.0202,signal,
close_long,103208.0,,10912.539372712588,,,signal,-0.4349083161348109
buy,103273.74,0.07044410562138119,3637.5131242375282,100175.5278,109470.16440000001,signal,
close_long,104015.85,,10964.816647935271,,,signal,52.27727522268324
buy,103975.75,0.070303679129895,3654.9388826450904,100856.4775,110214.29500000001,signal,
close_long,103765.79,,10950.05568746516,,,signal,-14.760960470113206
buy,103798.54,0.07032889985713454,3650.018562488385,100684.5838,110026.4524,signal,
close_long,103635.86,,10938.6145820364,,,signal,-11.441105428758156
buy,103685.24,0.07033218731381245,3646.2048606788003,100574.68280000001,109906.35440000001,signal,
close_long,103939.31,,10956.48388086722,,,signal,17.869298830819798
buy,103984.13,0.07024459008547566,3652.1612936224064,100864.6061,110223.1778,signal,
close_long,103857.14,,10947.563520372263,,,signal,-8.920360494954922
buy,103957.38,0.07020545997069352,3649.1878401240874,100838.6586,110194.82280000001,signal,
close_long,103921.41,,10945.038229977117,,,signal,-2.5252903951459276
buy,104002.52,0.07015880147248431,3648.346076659038,100882.44440000001,110242.67120000001,signal,
close_long,103920.63,,10939.292925724536,,,signal,-5.7453042525816995
buy,103962.87,0.07014871704179602,3646.430975241512,100843.98389999999,110200.6422,signal,
close_long,104111.12,,10949.692473025982,,,signal,10.39954730144626
buy,104343.95,0.06995896726180408,3649.897491008661,101213.63149999999,110604.587,signal,
close_long,103980.34,,10924.254692939918,,,signal,-25.43778008606462
buy,104163.94,0.06991706018378284,3641.4182309799726,101039.0218,110413.7764,signal,
close_long,103953.2,,10909.520371676786,,,signal,-14.734321263130761
buy,103895.13,0.0700034119127418,3636.5067905589285,100778.2761,110128.83780000001,signal,
